ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan
achagua-Chacon-2017-102-1-1,,achagua,Chacon-2017-102-1,nujá,nujá,n u j a,,melendez_lozano_diccionario_2011,,
baniwa-Chacon-2017-102-1-1,,baniwa,Chacon-2017-102-1,nhóa,nhóa,nh ó a,,ramirez_dicionario_2001,,
kabiyari-Chacon-2017-102-1-1,,kabiyari,Chacon-2017-102-1,nhú,nhú,nh ú,,,,
kabiyari-Chacon-2017-102-1-2,,kabiyari,Chacon-2017-102-1,nu-,nu-,n u,,,,
piapoco-Chacon-2017-102-1-1,,piapoco,Chacon-2017-102-1,núa,núa,n ú a,,,,
resigaro-Chacon-2017-102-1-1,,resigaro,Chacon-2017-102-1,ó,ó,ó,,,,
tariana-Chacon-2017-102-1-1,,tariana,Chacon-2017-102-1,nuha,nuha,n u h a,,,,
yukuna-Chacon-2017-102-1-1,,yukuna,Chacon-2017-102-1,nuká,nuká,n u k á,,schauer_diccionario_2005,,
achagua-Chacon-2017-102-2-1,,achagua,Chacon-2017-102-2,kinínama,kinínama,k i n i n a m a,,melendez_lozano_diccionario_2011,,
baniwa-Chacon-2017-102-2-1,,baniwa,Chacon-2017-102-2,phálhai,phálhai,ph á lh a i,,ramirez_dicionario_2001,,
kabiyari-Chacon-2017-102-2-1,,kabiyari,Chacon-2017-102-2,put'i,put'i,p u t 'i,,,,
piapoco-Chacon-2017-102-2-1,,piapoco,Chacon-2017-102-2,canánama,canánama,k a n á n a m a,,,,
piapoco-Chacon-2017-102-2-2,,piapoco,Chacon-2017-102-2,macáita,macáita,m a k á i t a,,,,
resigaro-Chacon-2017-102-2-1,,resigaro,Chacon-2017-102-2,phé?tó?,phé?tó?,ph é ʔ t ó ʔ,,huber_vocabulario_1991,,
yukuna-Chacon-2017-102-2-1,,yukuna,Chacon-2017-102-2,piyukeja,piyukeja,p i j u k e h a,,,,
achagua-Chacon-2017-102-3-1,,achagua,Chacon-2017-102-3,báali,báali,b a: l i,,melendez_lozano_diccionario_2011,,
baniwa-Chacon-2017-102-3-1,,baniwa,Chacon-2017-102-3,-wádzole,-wádzole,w á dz o l e,,ramirez_dicionario_2001,,
kabiyari-Chacon-2017-102-3-1,,kabiyari,Chacon-2017-102-3,pa'ari,pa'ari,p a ʔ a r i,,ramirez_dicionario_2001,,
piapoco-Chacon-2017-102-3-1,,piapoco,Chacon-2017-102-3,balìi,balìi,b a l ì i,,,,
