SEGMENT,REPLACEMENT
(,
),
[,
],
?,ʔ
',ʔ
'),ʔ
'a,ʔ a
'e,ʔ e
'i,ʔ i
'í,ʔ í/i
'o,ʔ o
'u,ʔ u
(h,h
)h,h
∫,ʃ
á:,á:/aː
á,á/a
à,à/a
ch,ʃ
čh,tʃʰ
é:,é:/eː
é,é/e
è,è/e
ê,ê/e
éː,éː/eː
éh,é/e h
hn,ʰn
hɲ,ʰɲ
hr,hɾ
hɾ,h ɾ
hw,h w
í:,í:/iː
í,í/i
í́,í/i
ì,ì/i
Ih,ɪ h
íí,íí/iː
J,ʒ
ǰ,ʒ
jβ,j β
kh,kʰ
lh,ʎ
ll,lː
mh,mʰ
nh,ɲ
ñh,ɲ
ó,ó/o
ô,ô/o
ph,pʰ
rh,rʰ
ɻh,ɻ h
š,ʃ
th,tʰ
tsh,tsʰ
tʃh,tʃʰ
ú:,ú:/uː
ú,ú/u
ù,ù/u
úú,ú:/uː
wh,w h
ʔh,ʔ h
ʔʒ,ʔ ʒ
